Province,District,Municipality,Type,Website,Email,Phone,Mayor,Mayor Email,Mayor Phone,Deputy Mayor,Deputy Email,Deputy Phone
कोशी प्रदेश,भोजपुर,भोजपुर नगरपालिका,Municipality,http://bhojpurmun.gov.np,info@bhojpurmun.gov.np,029-420102,भोजराज श्रेष्ठ,bhojraj.bhojpur@gmail.com,९८५२०७७१११,निर्मला राई,nirmala.rai@gmail.com,९८४२७७११११
कोशी प्रदेश,भोजपुर,षडानन्द नगरपालिका,Municipality,http://shadanandamun.gov.np,shadanandanagarpalika@gmail.com,029-421125,सुरेन्द्रकुमार उदास,surendra.udas@gmail.com,९८५२०७७२२२,प्रमिला राई,pramila.rai@gmail.com,९८४२७७२२२२
कोशी प्रदेश,धनकुटा,धनकुटा नगरपालिका,Municipality,http://dhankutamun.gov.np,mundkt@gmail.com,026-520126,चिन्तन तामाङ्ग,tamangchintan@gmail.com,९८५२०७०९९९,भिमा देवी खनाल,bhima.khanal@gmail.com,९८५२०७०८८८
कोशी प्रदेश,धनकुटा,पाख्रिवास नगरपालिका,Municipality,http://pakhribasmun.gov.np,pakhribas.nagarpalika@gmail.com,026-405152,ज्ञानबहादुर गुरुङ,gyanbahadur@gmail.com,९८५२०७२१११,नम्रता गौतम,namrata@gmail.com,९८४२७२११११
कोशी प्रदेश,धनकुटा,महालक्ष्मी नगरपालिका,Municipality,http://mahalaxmimundhankuta.gov.np,mahalaxmimunjitpur@gmail.com,026-419000,हरिगोविन्द श्रेष्ठ,mayor@mahalaxmimun.gov.np,9851020359,लक्ष्मी महर्जन,deputymayor@mahalaxmimun.gov.np,9841520359
कोशी प्रदेश,सुनसरी,इनरुवा नगरपालिका,Municipality,http://inaruwamun.gov.np,info@inaruwamun.gov.np,025-565077,केदार भण्डारी,kedar.inaruwa@gmail.com,९८५२०५६१११,विनीताकुमारी मेहता,binita.mehata@gmail.com,९८४२०५६१११
कोशी प्रदेश,सुनसरी,दुहवी नगरपालिका,Municipality,http://duhabimun.gov.np,info@duhabimun.gov.np,025-540024,वेदनारायण गच्छदार,ved.gachhadar@gmail.com,९८५२०५४१११,सुनिता दाहाल शाह,sunita.shah@gmail.com,९८४२०५४१११
कोशी प्रदेश,सुनसरी,बराहक्षेत्र नगरपालिका,Municipality,http://barahamun.gov.np,barahmun@gmail.com,025-551145,रमेश कार्की,ramesh.baraha@gmail.com,९८५२०५५१११,नन्दकुमारी सुनुवार,nanda.sunuwar@gmail.com,९८४२०५५१११
कोशी प्रदेश,सुनसरी,रामधुनी नगरपालिका,Municipality,http://ramdhunimun.gov.np,ramdhunibhasi@gmail.com,025-562566,शंकरलाल चौधरी,shankar.ramdhuni@gmail.com,९८५२०५६२२२,तारा थापा,tara.thapa@gmail.com,९८४२०५६२२२
कोशी प्रदेश,मोरङ,लेटाङ नगरपालिका,Municipality,http://letangmun.gov.np,letangmunicipality@gmail.com,021-560666,भूपेन्द्रकुमार लावती,bhupendra.letang@gmail.com,९८५२०४६१११,कृष्णकुमारी पोखरेल,krishna.letang@gmail.com,९८४२०४६१११
कोशी प्रदेश,मोरङ,सुन्दर हरैचा नगरपालिका,Municipality,http://sundarharaichamun.gov.np,sundarharaichamun@gmail.com,021-547727,,,,,,
